numeric	countrycode2	countrycode	countryname	region	r_long
(missing)	EA	_EA	Ceuta & Melilla	015	Africa
(missing)	IC	_IC	Canary Islands	015	Africa
(missing)	AC	ASC	Ascension Island	QO	Oceania
(missing)	CP	CPT	Clipperton Island	QO	Oceania
(missing)	DG	DGA	Diego Garcia	QO	Oceania
(missing)	TA	TAA	Tristan da Cunha	QO	Oceania
